,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
3850,3851,1.01,Fair,F,SI2,64.8,55,3477,6.37,6.26,4.1
51464,51465,1.2,Fair,G,I1,66.6,57,2376,6.57,6.5,4.34
51466,51467,0.9,Fair,G,SI2,65.4,57,2376,6.01,5.97,3.98
10237,10238,1.26,Fair,D,SI2,64.5,59,4746,6.75,6.71,4.34
10760,10761,1.01,Fair,E,SI1,69.5,55,4853,6,5.94,4.15
14645,14646,2,Fair,H,I1,69.8,54,5914,7.6,7.56,5.29
13271,13272,1,Fair,G,VS2,63.7,55,5484,6.28,6.21,3.98
13270,13271,1,Fair,G,VS2,67.6,57,5484,6.2,6.13,4.17
22871,22872,2,Fair,H,SI2,67.9,55,10913,7.67,7.58,5.18
7586,7587,1,Fair,E,SI2,65.2,56,4256,6.3,6.12,4.05
49235,49236,0.62,Fair,F,VS1,60,64,2083,5.69,5.48,3.36
18337,18338,1.5,Fair,E,SI2,65.8,57,7459,7.17,7.11,4.7
2948,2949,1.01,Fair,E,SI2,64.6,59,3294,6.22,6.18,4.01
51463,51464,1.2,Fair,I,I1,65.1,55,2376,6.65,6.59,4.31
51495,51496,0.7,Fair,F,VS1,64.5,57,2381,5.65,5.58,3.62
51497,51498,0.7,Fair,F,VS1,65.8,59,2381,5.58,5.48,3.64
1469,1470,0.9,Fair,E,SI2,65.8,59,2982,6.03,5.98,3.95
24490,24491,2,Fair,H,VS2,65.2,56,12765,7.92,7.87,5.15
45442,45443,0.7,Fair,J,VS2,64.6,58,1672,5.58,5.56,3.6
22852,22853,2.01,Fair,G,SI2,65.9,57,10887,7.85,7.78,5.15
22851,22852,2.01,Fair,G,SI2,65.9,57,10887,7.85,7.78,5.15
20235,20236,1.6,Fair,D,SI2,64.7,58,8666,7.35,7.28,4.73
14652,14653,1.65,Fair,J,SI1,61.6,66,5914,7.61,7.47,4.66
51513,51514,0.7,Fair,G,VS1,56.2,65,2384,5.93,5.88,3.32
51515,51516,0.7,Fair,G,VS1,65.8,61,2384,5.61,5.46,3.64
51516,51517,0.7,Fair,G,VS1,65.6,60,2384,5.57,5.5,3.63
24508,24509,1.5,Fair,G,VS2,64.4,56,12787,7.16,7.09,4.59
51496,51497,0.7,Fair,F,VS1,67.8,60,2381,5.5,5.39,3.69
17573,17574,1.08,Fair,G,VS1,64.7,60,7076,6.44,6.41,4.16
51462,51463,1.2,Fair,I,I1,66.7,57,2376,6.57,6.05,4.37
5739,5740,1.03,Fair,I,SI1,57.4,61,3892,6.67,6.71,3.84
14634,14635,1,Fair,G,VS1,64.4,56,5908,6.31,6.26,4.05
46961,46962,0.37,Fair,F,SI1,65.3,56,527,4.53,4.47,2.94
1527,1528,1.02,Fair,H,I1,61.5,60,2999,6.4,6.34,3.92
8356,8357,1.02,Fair,D,SI1,70.6,57,4398,6.08,6.01,4.27
49264,49265,0.62,Fair,F,VVS2,57.1,60,2088,5.65,5.7,3.24
1524,1525,0.85,Fair,G,VS1,57.7,67,2998,6.26,6.19,3.59
1523,1524,1.01,Fair,J,VVS2,66,56,2998,6.29,6.22,4.13
49262,49263,0.71,Fair,F,SI1,62.6,57,2088,5.73,5.68,3.57
2926,2927,0.9,Fair,I,VVS2,60.9,66,3288,6.1,6.12,3.72
51424,51425,0.71,Fair,D,SI1,66.3,56,2372,5.61,5.49,3.68
19406,19407,2,Fair,H,I1,66.8,57,8064,7.81,7.72,5.19
28040,28041,0.41,Fair,H,SI1,65.4,61,659,4.51,4.63,2.99
49249,49250,0.71,Fair,D,SI1,55.5,62,2086,6,5.97,3.32
1515,1516,0.91,Fair,F,SI2,65.3,51,2996,6.05,5.98,3.93
30751,30752,0.31,Fair,F,VVS1,63.1,61,740,4.32,4.37,2.74
13283,13284,1.3,Fair,J,SI1,66,57.1,5488,6.73,6.82,4.45
22913,22914,1.54,Fair,F,SI1,65.8,56,10954,7.22,7.18,4.74
17591,17592,1.59,Fair,I,SI2,65.2,58,7080,7.28,7.24,4.73
1506,1507,1.01,Fair,G,SI1,65.1,57,2993,6.27,6.22,4.07
51445,51446,1.07,Fair,G,I1,64.8,56,2375,6.53,6.43,4.2
13280,13281,1.12,Fair,G,VS1,64.8,56,5487,6.48,6.52,4.21
51452,51453,0.9,Fair,H,SI2,66,63,2376,5.89,5.79,3.86
51453,51454,0.75,Fair,D,SI1,65.1,57,2376,5.64,5.6,3.66
2934,2935,1.02,Fair,I,SI2,66.2,57,3290,6.34,6.26,4.17
1498,1499,1.06,Fair,J,SI2,61,66,2992,6.54,6.35,3.93
5736,5737,1.1,Fair,E,SI1,65.5,57,3891,6.45,6.37,4.2
17593,17594,1,Fair,D,VS1,55.9,60,7083,6.77,6.71,4.38
2959,2960,0.7,Fair,D,VVS2,58.5,62,3296,5.72,5.81,3.37
20244,20245,1.52,Fair,H,VS2,62.1,66,8674,7.33,7.13,4.5
26622,26623,2.02,Fair,D,SI1,65,55,16386,7.94,7.84,5.13
51617,51618,0.7,Fair,H,VS1,59.6,66,2395,5.8,5.74,3.44
51624,51625,1.05,Fair,I,I1,61.8,66,2396,6.48,6.37,3.97
51626,51627,1.21,Fair,I,I1,65,58,2396,6.65,6.59,4.3
51628,51629,0.72,Fair,G,VS1,66.4,57,2396,5.6,5.51,3.69
14244,14245,1.13,Fair,H,SI1,65.3,59,5771,6.52,6.44,4.23
40861,40862,0.61,Fair,J,VS2,58.2,56,1174,5.74,5.49,3.27
2991,2992,1.08,Fair,J,SI2,64.9,60,3302,6.46,6.32,4.15
15503,15504,1.5,Fair,I,SI2,68.1,59,6209,7.12,6.84,4.75
7593,7594,1,Fair,F,SI1,66.4,57,4256,6.21,6.14,4.1
33200,33201,0.3,Fair,G,VVS2,64.4,58,819,4.21,4.17,2.7
12085,12086,1,Fair,G,VS2,64.5,58,5161,6.26,6.2,4.02
4518,4519,1,Fair,G,SI1,43,59,3634,6.32,6.27,3.97
13247,13248,1.01,Fair,G,VS2,66.6,55,5475,6.27,6.22,4.16
8392,8393,0.5,Fair,F,I1,69.8,55,584,4.89,4.8,3.38
17536,17537,1.5,Fair,F,SI2,65.3,57,7056,7.15,7.09,4.65
49160,49161,0.69,Fair,G,VS1,57.8,66,2070,5.9,5.84,3.39
24538,24539,1.51,Fair,E,VS2,65,58,12829,7.06,7.12,4.61
5826,5827,1.01,Fair,E,SI2,57.9,57,3916,6.51,6.55,3.78
4516,4517,1,Fair,D,SI2,65.2,56,3634,6.27,6.21,4.07
15888,15889,1.01,Fair,G,VS1,64.6,60,6353,6.34,6.22,4.06
49151,49152,0.74,Fair,E,SI1,66,56,2069,5.6,5.67,3.72
40873,40874,0.5,Fair,H,VS2,65.1,59,1175,5.02,5.06,3.28
40874,40875,0.73,Fair,I,I1,66.1,58,1175,5.63,5.5,3.68
4512,4513,1.02,Fair,F,SI2,66.6,58,3633,6.21,6.14,4.11
3008,3009,1,Fair,D,SI2,64.8,60,3304,6.23,6.18,4.02
3009,3010,1,Fair,G,SI1,65.8,55,3304,6.22,6.19,4.08
15506,15507,1,Fair,F,VS2,64.9,52,6210,6.24,6.33,4.08
51606,51607,0.7,Fair,F,SI2,65.1,52,2394,5.64,5.57,3.65
18358,18359,1.5,Fair,D,SI2,68.8,57,7469,6.9,6.86,4.73
43301,43302,0.52,Fair,I,VVS2,60.4,66,1401,5.26,5.2,3.16
45425,45426,0.51,Fair,D,VS2,64.4,54,1668,5.06,5.03,3.25
5775,5776,1.18,Fair,D,SI2,57,66,3899,6.96,6.91,3.98
24518,24519,2.04,Fair,E,SI2,65.4,55,12799,7.87,7.93,5.17
51543,51544,0.83,Fair,G,SI2,64.4,57,2386,5.93,5.86,3.8
37303,37304,0.7,Fair,G,I1,68.3,56,978,5.52,5.4,3.73
1438,1439,1,Fair,D,SI2,69.3,58,2974,5.96,5.87,4.1
14659,14660,1.52,Fair,J,SI2,65.8,57,5916,7.18,7.11,4.7
20250,20251,1.51,Fair,G,SI1,65,59,8681,6.99,7.07,4.57
49207,49208,0.52,Fair,E,VVS2,57.2,64,2079,5.27,5.36,3.04
28088,28089,0.3,Fair,F,VS2,64.5,55,662,4.31,4.19,2.74
17560,17561,2.25,Fair,G,I1,64.9,58,7069,8.15,8.12,5.28
