,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,z
40455,40456,0.5,Ideal,H,SI1,62.2,57.0,1140,5.07,5.09,3.16
40456,40457,0.5,Ideal,H,SI1,62.4,56.0,1140,5.07,5.09,3.17
40457,40458,0.5,Ideal,H,SI1,62.1,58.0,1140,5.04,5.07,3.14
40458,40459,0.5,Ideal,H,SI1,62.5,57.0,1140,5.06,5.08,3.17
40459,40460,0.5,Ideal,H,SI1,62.0,56.0,1140,5.08,5.11,3.16
40460,40461,0.53,Good,E,SI2,57.9,58.0,1140,5.34,5.39,3.11
40461,40462,0.38,Ideal,D,VS1,62.5,56.0,1140,4.67,4.64,2.91
40462,40463,0.32,Ideal,D,VVS1,61.8,56.0,1140,4.41,4.39,2.72
40463,40464,0.32,Ideal,D,VVS1,61.5,57.0,1140,4.45,4.43,2.73
40464,40465,0.32,Ideal,D,VVS1,61.8,56.0,1140,4.41,4.39,2.72
40465,40466,0.32,Ideal,D,VVS1,61.3,57.0,1140,4.42,4.39,2.7
40466,40467,0.32,Ideal,D,VVS1,61.9,56.0,1140,4.39,4.36,2.71
40467,40468,0.38,Ideal,D,VS1,62.2,57.0,1140,4.66,4.63,2.89
40468,40469,0.32,Ideal,D,VVS1,61.7,55.0,1140,4.44,4.41,2.73
40469,40470,0.38,Ideal,D,VS1,62.0,55.0,1140,4.68,4.64,2.89
40470,40471,0.38,Ideal,G,VVS1,61.6,57.0,1140,4.73,4.65,2.89
40471,40472,0.38,Premium,D,VS1,61.9,60.0,1140,4.66,4.62,2.87
40472,40473,0.38,Premium,D,VS1,62.4,59.0,1140,4.63,4.6,2.88
40473,40474,0.64,Good,F,I1,57.3,64.0,1140,5.75,5.69,3.28
40474,40475,0.38,Premium,D,VS1,61.2,58.0,1140,4.68,4.63,2.85
40475,40476,0.52,Premium,I,VS1,59.6,60.0,1141,5.17,5.14,3.07
40476,40477,0.52,Very Good,J,VS2,60.7,56.0,1141,5.19,5.23,3.16
40477,40478,0.53,Premium,E,SI2,60.5,60.0,1141,5.21,5.24,3.16
40478,40479,0.53,Good,E,SI2,63.4,56.0,1141,5.16,5.18,3.28
40479,40480,0.53,Good,E,SI2,63.2,54.0,1141,5.16,5.19,3.27
40480,40481,0.55,Very Good,G,SI1,60.7,56.0,1141,5.32,5.38,3.25
40481,40482,0.33,Ideal,F,VVS1,61.8,55.0,1141,4.44,4.46,2.75
40482,40483,0.52,Ideal,J,VS2,61.6,57.0,1141,5.16,5.19,3.19
40483,40484,0.64,Good,J,SI2,64.7,54.0,1141,5.39,5.43,3.5
40484,40485,0.5,Good,D,SI2,57.1,63.0,1141,5.23,5.27,3.0
40485,40486,0.5,Premium,H,SI1,60.2,61.0,1141,5.16,5.14,3.1
40486,40487,0.5,Fair,E,SI2,65.2,57.0,1141,4.96,4.91,3.22
40487,40488,0.4,Very Good,E,VVS1,63.8,56.0,1142,4.68,4.72,3.0
40488,40489,0.42,Ideal,F,VVS2,62.1,55.0,1142,4.79,4.81,2.98
40489,40490,0.42,Premium,F,VVS2,59.6,59.0,1142,4.83,4.86,2.89
40490,40491,0.42,Ideal,F,VVS2,61.1,57.0,1142,4.82,4.84,2.95
40491,40492,0.42,Ideal,F,VVS2,60.6,57.0,1142,4.82,4.85,2.93
40492,40493,0.42,Premium,F,VVS2,61.7,59.0,1142,4.78,4.82,2.96
40493,40494,0.42,Ideal,F,VVS2,61.3,57.0,1142,4.8,4.82,2.95
40494,40495,0.42,Premium,F,VVS2,60.3,59.0,1142,4.83,4.86,2.92
40495,40496,0.42,Ideal,F,VVS2,61.6,56.0,1142,4.83,4.85,2.98
40496,40497,0.42,Ideal,F,VVS2,61.7,57.0,1142,4.78,4.81,2.96
40497,40498,0.42,Ideal,F,VVS2,62.2,56.0,1142,4.79,4.82,2.99
40498,40499,0.53,Ideal,F,SI2,61.7,56.0,1142,5.23,5.24,3.23
