,cut
0,Ideal
1,Premium
2,Good
3,Premium
4,Good
5,Very Good
6,Very Good
7,Very Good
8,Fair
9,Very Good
10,Good
11,Ideal
12,Premium
13,Ideal
14,Premium
15,Premium
16,Ideal
17,Good
18,Good
19,Very Good
20,Good
21,Very Good
22,Very Good
23,Very Good
24,Very Good
25,Very Good
26,Premium
27,Very Good
28,Very Good
29,Very Good
30,Very Good
31,Very Good
32,Very Good
33,Very Good
34,Very Good
35,Good
36,Good
37,Good
38,Very Good
39,Ideal
40,Ideal
41,Ideal
42,Good
43,Good
44,Good
45,Premium
46,Very Good
47,Good
48,Very Good
49,Very Good
50,Very Good
51,Ideal
52,Ideal
53,Premium
54,Premium
55,Ideal
56,Premium
57,Very Good
58,Very Good
59,Good
60,Ideal
61,Premium
62,Ideal
63,Ideal
64,Premium
65,Ideal
66,Ideal
67,Very Good
68,Premium
69,Premium
70,Very Good
71,Very Good
72,Premium
73,Premium
74,Good
75,Very Good
76,Very Good
77,Very Good
78,Very Good
79,Very Good
80,Very Good
81,Very Good
82,Ideal
83,Ideal
84,Good
85,Premium
86,Premium
87,Premium
88,Premium
89,Premium
90,Ideal
91,Fair
92,Ideal
93,Very Good
94,Very Good
95,Good
96,Good
97,Fair
98,Very Good
99,Premium
100,Very Good
101,Premium
102,Ideal
103,Premium
104,Ideal
105,Ideal
106,Premium
107,Ideal
108,Ideal
109,Ideal
110,Ideal
111,Ideal
112,Premium
113,Very Good
114,Ideal
115,Ideal
116,Premium
117,Ideal
118,Ideal
119,Ideal
120,Ideal
121,Ideal
122,Very Good
123,Fair
124,Fair
125,Premium
126,Premium
127,Very Good
128,Fair
129,Fair
130,Ideal
131,Very Good
132,Ideal
133,Very Good
134,Very Good
135,Premium
136,Very Good
137,Premium
138,Ideal
139,Ideal
140,Premium
141,Premium
142,Very Good
143,Very Good
144,Ideal
145,Good
146,Very Good
147,Very Good
148,Very Good
149,Ideal
150,Premium
151,Ideal
152,Premium
153,Premium
154,Very Good
155,Ideal
156,Ideal
157,Premium
158,Premium
159,Ideal
160,Premium
161,Very Good
162,Very Good
163,Ideal
164,Ideal
165,Very Good
166,Very Good
167,Ideal
168,Ideal
169,Good
170,Ideal
171,Premium
172,Very Good
173,Ideal
174,Ideal
175,Good
176,Very Good
177,Very Good
178,Premium
179,Ideal
180,Ideal
181,Ideal
182,Ideal
183,Ideal
184,Good
185,Ideal
186,Very Good
187,Premium
188,Very Good
189,Good
190,Good
191,Ideal
192,Premium
193,Premium
194,Premium
195,Premium
196,Premium
197,Premium
198,Ideal
199,Premium
200,Very Good
201,Premium
202,Premium
203,Good
204,Fair
205,Premium
206,Very Good
207,Ideal
208,Very Good
209,Ideal
210,Very Good
211,Premium
212,Ideal
213,Ideal
214,Ideal
215,Premium
216,Ideal
217,Ideal
218,Very Good
219,Very Good
220,Ideal
221,Good
222,Premium
223,Very Good
224,Ideal
225,Premium
226,Premium
227,Fair
228,Premium
229,Ideal
230,Very Good
231,Very Good
232,Very Good
233,Ideal
234,Ideal
235,Very Good
236,Very Good
237,Ideal
238,Good
239,Good
240,Ideal
241,Fair
242,Premium
243,Good
244,Good
245,Premium
246,Premium
247,Very Good
248,Ideal
249,Ideal
250,Ideal
251,Good
252,Premium
253,Premium
254,Premium
255,Fair
256,Ideal
257,Premium
258,Ideal
259,Premium
260,Premium
261,Very Good
262,Ideal
263,Premium
264,Premium
265,Ideal
266,Premium
267,Premium
268,Premium
269,Ideal
270,Very Good
271,Very Good
272,Good
273,Ideal
274,Ideal
275,Very Good
276,Very Good
277,Premium
278,Ideal
279,Good
280,Premium
281,Premium
282,Premium
283,Premium
284,Premium
285,Good
286,Very Good
287,Very Good
288,Premium
289,Premium
290,Premium
291,Ideal
292,Ideal
293,Ideal
294,Ideal
295,Ideal
296,Fair
297,Premium
298,Fair
299,Very Good
300,Ideal
301,Very Good
302,Ideal
303,Ideal
304,Very Good
305,Good
306,Premium
307,Very Good
308,Ideal
309,Ideal
310,Very Good
311,Premium
312,Ideal
313,Ideal
314,Fair
315,Ideal
316,Ideal
317,Premium
318,Ideal
319,Premium
320,Good
321,Good
322,Premium
323,Premium
324,Premium
325,Very Good
326,Ideal
327,Premium
328,Premium
329,Very Good
330,Very Good
331,Ideal
332,Ideal
333,Good
334,Premium
335,Premium
336,Premium
337,Premium
338,Premium
339,Premium
340,Very Good
341,Ideal
342,Very Good
343,Very Good
344,Very Good
345,Very Good
346,Ideal
347,Very Good
348,Ideal
349,Ideal
350,Ideal
351,Ideal
352,Fair
353,Premium
354,Premium
355,Ideal
356,Fair
357,Premium
358,Ideal
359,Fair
360,Good
361,Very Good
362,Very Good
363,Ideal
364,Very Good
365,Very Good
366,Premium
367,Very Good
368,Very Good
369,Fair
370,Very Good
371,Ideal
372,Very Good
373,Very Good
374,Premium
375,Premium
376,Fair
377,Very Good
378,Very Good
379,Ideal
380,Good
381,Good
382,Very Good
383,Very Good
384,Fair
385,Fair
386,Very Good
387,Very Good
388,Good
389,Very Good
390,Premium
391,Premium
392,Ideal
393,Premium
394,Very Good
395,Ideal
396,Premium
397,Premium
398,Premium
399,Very Good
400,Good
401,Ideal
402,Very Good
403,Good
404,Ideal
405,Very Good
406,Very Good
407,Very Good
408,Ideal
409,Ideal
410,Ideal
411,Ideal
412,Ideal
413,Ideal
414,Ideal
415,Very Good
416,Very Good
417,Ideal
418,Ideal
419,Ideal
420,Very Good
421,Very Good
422,Ideal
423,Fair
424,Premium
425,Ideal
426,Premium
427,Very Good
428,Good
429,Premium
430,Ideal
431,Premium
432,Very Good
433,Very Good
434,Premium
435,Ideal
436,Ideal
437,Ideal
438,Ideal
439,Fair
440,Fair
441,Premium
442,Premium
443,Fair
444,Premium
445,Very Good
446,Ideal
447,Good
448,Premium
449,Ideal
450,Ideal
451,Premium
452,Ideal
453,Ideal
454,Premium
455,Ideal
456,Premium
457,Premium
458,Ideal
459,Premium
460,Ideal
461,Good
462,Premium
463,Premium
464,Premium
465,Premium
466,Premium
467,Ideal
468,Ideal
469,Premium
470,Premium
471,Premium
472,Fair
473,Very Good
474,Ideal
475,Good
476,Good
477,Ideal
478,Ideal
479,Premium
480,Ideal
481,Premium
482,Good
483,Premium
484,Premium
485,Premium
486,Very Good
487,Premium
488,Premium
489,Premium
490,Premium
491,Premium
492,Ideal
493,Ideal
494,Ideal
495,Premium
496,Premium
497,Premium
498,Ideal
499,Good
500,Ideal
501,Premium
502,Premium
503,Ideal
504,Good
505,Ideal
